Bad Checksum - idPage: 524288, tyPage: 3, iPage: 311
Bad Checksum - idPage: 524300, tyPage: 15, iPage: 557
Bad Checksum - idPage: 524383, tyPage: 7, iPage: 475
Bad Checksum - idPage: 524385, tyPage: 7, iPage: 411
Bad Checksum - idPage: 524403, tyPage: 6, iPage: 599
Bad Checksum - idPage: 524544, tyPage: 14, iPage: 481
Bad Checksum - idPage: 589840, tyPage: 1, iPage: 195
Bad Checksum - idPage: 589919, tyPage: 6, iPage: 353
Bad Checksum - idPage: 589932, tyPage: 6, iPage: 405
Bad Checksum - idPage: 589938, tyPage: 7, iPage: 543
Bad Checksum - idPage: 589940, tyPage: 6, iPage: 109
Bad Checksum - idPage: 721152, tyPage: 11, iPage: 483
Bad Checksum - idPage: 786527, tyPage: 6, iPage: 435
Bad Checksum - idPage: 786532, tyPage: 6, iPage: 545
Bad Checksum - idPage: 786537, tyPage: 6, iPage: 501
Bad Checksum - idPage: 813132, tyPage: 0, iPage: 443
Bad Checksum - idPage: 817042, tyPage: 0, iPage: 509
Bad Checksum - idPage: 820405, tyPage: 0, iPage: 415
Bad Checksum - idPage: 852016, tyPage: 2, iPage: 227
Bad Checksum - idPage: 852069, tyPage: 6, iPage: 125
Bad Checksum - idPage: 917504, tyPage: 4, iPage: 461
Bad Checksum - idPage: 917601, tyPage: 6, iPage: 593
Bad Checksum - idPage: 917615, tyPage: 6, iPage: 479
Bad Checksum - idPage: 983040, tyPage: 5, iPage: 63
Bad Checksum - idPage: 983145, tyPage: 6, iPage: 539
Bad Checksum - idPage: 983152, tyPage: 5, iPage: 455
Bad Checksum - idPage: 983154, tyPage: 5, iPage: 421
Bad Checksum - idPage: 983296, tyPage: 10, iPage: 245
Bad Checksum - idPage: 983552, tyPage: 15, iPage: 90
Bad Checksum - idPage: 1015808, tyPage: 3, iPage: 59
Bad Checksum - idPage: 1016320, tyPage: 15, iPage: 624
Bad Checksum - idPage: 1048135, tyPage: 15, iPage: 561
Bad Checksum - idPage: 1048575, tyPage: 15, iPage: 5

Bad Checksum - idPage: 0, tyPage: 0, iPage: 0
Source      : C:\Users\JP_51\Desktop\StardewValley\StardewValley\bin\Debug\StardewValley.mdf
Destination : n/a
Verifying - verMajor: 1, verMinor: 0, verBuild: 0, verPoint: 0
Time - 2018-28-12 18:45:52.597
Database format in database header page is corrupt (or not a database file)
Bad Checksum - idPage: 0, tyPage: 0, iPage: 241
Bad Checksum - idPage: 1, tyPage: 0, iPage: 307
Bad Checksum - idPage: 2, tyPage: 0, iPage: 299
Bad Checksum - idPage: 4, tyPage: 0, iPage: 507
Bad Checksum - idPage: 10, tyPage: 0, iPage: 215
Bad Checksum - idPage: 16, tyPage: 0, iPage: 81
Bad Checksum - idPage: 20, tyPage: 0, iPage: 681
Bad Checksum - idPage: 51, tyPage: 0, iPage: 281
Bad Checksum - idPage: 54, tyPage: 0, iPage: 171
Bad Checksum - idPage: 95, tyPage: 7, iPage: 523
Bad Checksum - idPage: 96, tyPage: 0, iPage: 87
Bad Checksum - idPage: 97, tyPage: 7, iPage: 449
Bad Checksum - idPage: 101, tyPage: 7, iPage: 529
Bad Checksum - idPage: 105, tyPage: 7, iPage: 547
Bad Checksum - idPage: 115, tyPage: 3, iPage: 505
Bad Checksum - idPage: 116, tyPage: 3, iPage: 441
Bad Checksum - idPage: 117, tyPage: 7, iPage: 499
Bad Checksum - idPage: 120, tyPage: 7, iPage: 531
Bad Checksum - idPage: 121, tyPage: 3, iPage: 383
Bad Checksum - idPage: 256, tyPage: 0, iPage: 447
Bad Checksum - idPage: 512, tyPage: 0, iPage: 132
Bad Checksum - idPage: 518, tyPage: 0, iPage: 64
Bad Checksum - idPage: 532, tyPage: 0, iPage: 629
Bad Checksum - idPage: 1536, tyPage: 0, iPage: 675
Bad Checksum - idPage: 2560, tyPage: 0, iPage: 105
Bad Checksum - idPage: 4096, tyPage: 0, iPage: 277
Bad Checksum - idPage: 4224, tyPage: 0, iPage: 135
Bad Checksum - idPage: 5376, tyPage: 0, iPage: 313
Bad Checksum - idPage: 5632, tyPage: 0, iPage: 673
Bad Checksum - idPage: 8192, tyPage: 0, iPage: 123
Bad Checksum - idPage: 10240, tyPage: 0, iPage: 149
Bad Checksum - idPage: 11776, tyPage: 0, iPage: 17
Bad Checksum - idPage: 16256, tyPage: 0, iPage: 57
Bad Checksum - idPage: 16896, tyPage: 0, iPage: 230
Bad Checksum - idPage: 20480, tyPage: 2, iPage: 439
Bad Checksum - idPage: 22528, tyPage: 2, iPage: 407
Bad Checksum - idPage: 24320, tyPage: 0, iPage: 657
Bad Checksum - idPage: 25856, tyPage: 0, iPage: 97
Bad Checksum - idPage: 26624, tyPage: 0, iPage: 107
Bad Checksum - idPage: 27648, tyPage: 0, iPage: 343
Bad Checksum - idPage: 29184, tyPage: 0, iPage: 95
Bad Checksum - idPage: 29952, tyPage: 0, iPage: 225
Bad Checksum - idPage: 30464, tyPage: 0, iPage: 625
Bad Checksum - idPage: 33059, tyPage: 11, iPage: 517
Bad Checksum - idPage: 33280, tyPage: 0, iPage: 142
Bad Checksum - idPage: 42488, tyPage: 0, iPage: 373
Bad Checksum - idPage: 49664, tyPage: 0, iPage: 74
Bad Checksum - idPage: 65536, tyPage: 0, iPage: 257
Bad Checksum - idPage: 65562, tyPage: 0, iPage: 203
